"title","logo","description","url","longitude","latitude"
"Salve &dash; Banca del Tempo Capo di Leuca","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/05/Logo-Capo-di-Leuca.jpg?resize=150%2C150",,,18.292914,39.858475
"Olbia Tempio &dash; Banca del Tempo Scambio Tempo Bank","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/05/Logo-Olbia-B.jpg?resize=150%2C150",,,9.485236,40.912678
"Coordinamento Regionale Banche del Tempo Sicilia","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Logo-Coordinamento-Sicilia.jpg?resize=150%2C150","Via Francesco Crispi, c/o Comune, 98021 Alเธฃเธ Terme",,15.41888,37.999299
"Schio &dash; Banca del Tempo di Schio","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/03/Logo-Schio.jpg?resize=150%2C150","presso la sede in Viale Trento Trieste 3",,11.355502,45.710944
"Putignano &dash; Banca del Tempo La rosa di Gerico","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/03/Logo-Putignano-2-1.jpg?resize=300%2C150",,,17.118778,40.854879
"Torino &dash; Banca del Tempo Tempo al Tempo",,,,7.7076,45.116852
"Roncello &dash; Banca del Tempo Banda del Tempo","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/12/Logo-Roncello.jpg?resize=150%2C150","P.zza SantเนยยAmbrogio 1, 20877 Roncello",,9.458887,45.600978
"Vicenza &dash; Banca del Tempo Medoacus","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/12/Logo-Vicenza.jpg?resize=150%2C150","Via Don Luigi Sturzo 1, 36050 Vicenza",,11.626536,45.578562
"Assisi &dash; Banca del Tempo di Subasio","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/11/Logo-Assisi.jpg?resize=150","Via Cristoforo Cecci 1, c/o CESVOL, 06081 Assisi",,12.590515,43.049938
"Predappio &dash; Banca del Tempo Predappio","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/11/Logo-Predappio.jpg?resize=150%2C150%2C150","Via Dello Sport 1, 47016 Predappio",,11.982394,44.103273
"Monterosi &dash; Banca del Tempo di Monterosi","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/10/Logo-Monterosi.jpg?resize=150%2C150",,,12.309623,42.195552
"Messina &dash; Banca del Tempo Zancle Solidale","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/10/Logo-Messina-Zancle-Solidale.jpg?resize=150%2C150",,,15.555772,38.202935
"Ragusa &dash; Banca del Tempo Iblea","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/10/Logo-Iblea.jpg?resize=150%2C150","Via Ercolano 26, 97100 Ragusa",,14.723866,36.917066
"Mantova &dash; Banca del Tempo Passa-Tempo","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Mantova.jpg?resize=150%2C150",,,10.797672,45.160982
"Lodi &dash; Banca del Tempo di Lodi","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Lodi.jpg?resize=150%2C150",,,9.506389,45.311773
"Milano &dash; Banca del Tempo Il Valore del Tempo On Line","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Il-valore-del-Tempo-On-Line.jpg?resize=150%2C150",,,9.231626,45.487032
"Riccione &dash; Banca del Tempo di Riccione","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Riccione-1.jpg?resize=150%2C150","Viale Lazio 10, 47838 Riccione",,12.652908,43.994511
"Rimini &dash; Banca del Tempo della Famiglia",,"Via Giacomo Brodolini 10, loc. Viserba a Monte, 47922 Rimini",,12.529594,44.077632
".Coordinamento Banche del Tempo di Rimini e S.Giustina",,"Via Montiano 14, 47922 Santa Giustina, frazione di Rimini",,12.482224,44.068345
"Roma Municipio X &dash; Banca del Tempo UIS",,,,12.264323,41.739479
"Bergamo &dash; Banca del Tempo Conca Fiorita","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/08/Logo-Conca-Fiorita.jpg?resize=150%2C150",,,9.67955,45.70906
"Matera &dash; Banca del Tempo Tempo ritrovato",,,,16.593246,40.676851
"Roma Municipio XV &dash; Associazione di Promozione Sociale &dash; Reatino 15","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/08/Logo-Reatino-15-Roma4-2.jpg?resize=450%2C150",,,12.442523,41.974198
"Genova Banca del Tempo La banda del tempo","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/07/Logo-La-Banda-del-Tempo.jpg?resize=150%2C150",,,8.936904,44.412492
